image_name,run_length,value,huffman_code,code_length
0000.jpg,0,115,11101010111010,14
0000.jpg,0,119,10110100111101,14
0000.jpg,0,122,11111100000001,14
0000.jpg,1,-9,10110100111110,14
0000.jpg,1,-8,11101010111000,14
0000.jpg,1,8,00011011011001,14
0000.jpg,1,9,01010111011010,14
0000.jpg,2,-17,00011011010110,14
0000.jpg,2,-15,00011011001110,14
0000.jpg,2,-13,01010111011000,14
0000.jpg,2,-12,01010111011100,14
0000.jpg,2,-10,10110110110001,14
0000.jpg,2,12,11101011000100,14
0000.jpg,2,14,11101011000011,14
0000.jpg,2,15,00011011001100,14
0000.jpg,2,18,01010111010011,14
0000.jpg,3,-19,10101000101110,14
0000.jpg,3,-15,11111101000010,14
0000.jpg,3,-14,00011011010011,14
0000.jpg,3,-12,10110100111111,14
0000.jpg,3,15,01010111010100,14
0000.jpg,3,16,10101000110000,14
0000.jpg,3,17,11101010111110,14
0000.jpg,4,-19,00011011010010,14
0000.jpg,4,-18,00011011001111,14
0000.jpg,4,-16,10110110110011,14
0000.jpg,4,-14,01010111010010,14
0000.jpg,4,-13,11101010111001,14
0000.jpg,4,14,11101010111101,14
0000.jpg,4,15,00011011010111,14
0000.jpg,4,16,10101000101111,14
0000.jpg,4,20,11111101000100,14
0000.jpg,5,-17,11101010111111,14
0000.jpg,5,-16,00011011011011,14
0000.jpg,5,-14,10101000110100,14
0000.jpg,5,-12,10101000110011,14
0000.jpg,5,13,10110110110010,14
0000.jpg,5,14,00011011010100,14
0000.jpg,5,15,01010111011110,14
0000.jpg,5,17,10101000110010,14
0000.jpg,5,18,11101011000010,14
0000.jpg,5,19,00011011011000,14
0000.jpg,6,-21,01010111011111,14
0000.jpg,6,-19,00011011011010,14
0000.jpg,6,-18,00011011011110,14
0000.jpg,6,-15,11101011000110,14
0000.jpg,6,13,10101000110101,14
0000.jpg,6,14,10110110110110,14
0000.jpg,6,15,01010111011011,14
0000.jpg,6,16,10110110110100,14
0000.jpg,6,22,00011011010101,14
0000.jpg,7,-22,11101011000111,14
0000.jpg,7,-21,11100111100000,14
0000.jpg,7,-19,11101011001000,14
0000.jpg,7,14,10101000110110,14
0000.jpg,10,1,00011011010001,14
0000.jpg,11,1,11111101000111,14
0000.jpg,13,-2,11101011000101,14
0000.jpg,13,2,00011011011111,14
0000.jpg,14,-2,10110110110111,14
0000.jpg,14,2,00011011011101,14
0000.jpg,15,-3,00011011001101,14
0000.jpg,15,3,01010111011101,14
0000.jpg,21,-1,10110110110101,14
